ㄚ-ㄚ-ㄞ-ㄚ-ㄢ,a-a-ai-a-an,a-a-ai-a-an
ㄞ-ㄞ-ㄢ-ㄚ-ㄈㄚ,ai-ai-an-a-fa,ai-ai-an-a-fa
ㄢ-ㄞ-ㄈㄚ-ㄈㄢ-ㄢ,an-ai-fa-fan-an,an-ai-fa-fan-an
ㄈㄚ-ㄈㄟ-ㄚ-ㄈㄧ-ㄈㄢ,fa-feɪ-a-fi-fan,fa-fei-a-fi-fan
ㄈㄢ-ㄈㄚ-ㄈㄧㄚ-ㄈㄨ-ㄚ,fan-fa-fia-fu-a,fan-fa-fia-fu-a
ㄈㄟ-ㄞ-ㄈㄟ-ㄢ-ㄈㄢ,feɪ-ai-feɪ-an-fan,fei-ai-fei-an-fan
ㄈㄧ-ㄈㄧ-ㄈㄧㄚ-ㄈㄛA-ㄚ,fi-fi-fia-fuɔ-a,fi-fi-fia-foa-a
ㄈㄧㄚ-ㄈㄤ-ㄚ-ㄈㄛ-ㄞ,fia-fɑŋ-a-fɔ-ai,fia-fang-a-fo-ai
ㄈㄨ-ㄞ-ㄈㄨ-ㄢ-ㄈㄟ,fu-ai-fu-an-feɪ,fu-ai-fu-an-fei
ㄈㄛA-ㄢ-ㄈㄧ-ㄈㄛA-ㄈㄚ,fuɔ-an-fi-fuɔ-fa,foa-an-fi-foa-fa
ㄈㄤ-ㄞ-ㄈㄤ-ㄢ-ㄈㄧㄚ,fɑŋ-ai-fɑŋ-an-fia,fang-ai-fang-an-fia
ㄈㄛ-ㄈㄢ-ㄈㄨ-ㄈㄚ-ㄈㄣ,fɔ-fan-fu-fa-fən,fo-fan-fu-fa-fen
ㄈㄣ-ㄈㄛA-ㄈㄟ-ㄈㄚ-ㄈㄡ,fən-fuɔ-feɪ-fa-fɤʊ,fen-foa-fei-fa-fou
ㄈㄡ-ㄚ-ㄈㄜ-ㄚ-ㄈㄥ,fɤʊ-a-fɯʌ-a-fʊŋ,fou-a-fe-a-feng
ㄈㄜ-ㄞ-ㄈㄛ-ㄈㄧ-ㄈㄣ,fɯʌ-ai-fɔ-fi-fən,fe-ai-fo-fi-fen
ㄈㄥ-ㄈㄚ-ㄧ-ㄈㄡ-ㄞ,fʊŋ-fa-i-fɤʊ-ai,feng-fa-yi-fou-ai
ㄧ-ㄈㄜ-ㄢ-ㄈㄤ-ㄈㄢ,i-fɯʌ-an-fɑŋ-fan,yi-fe-an-fang-fan
ㄧㄚ-ㄧㄚ-ㄧㄞ-ㄈㄢ-ㄈㄛ,ia-ia-iaɪ-fan-fɔ,ya-ya-yai-fan-fo
ㄧㄞ-ㄈㄟ-ㄈㄧ-ㄈㄥ-ㄈㄟ,iaɪ-feɪ-fi-fʊŋ-feɪ,yai-fei-fi-feng-fei
ㄧㄥ-ㄈㄧ-ㄧ-ㄧㄚ-ㄧㄥ,iŋ-fi-i-ia-iŋ,ying-fi-yi-ya-ying
ㄧㄤ-ㄈㄧㄚ-ㄧㄤ-ㄈㄨ-ㄈㄢ,iɑŋ-fia-iɑŋ-fu-fan,yang-fia-yang-fu-fan
ㄧㄠ-ㄢ-ㄈㄣ-ㄈㄡ-ㄈㄚ,iɑʊ-an-fən-fɤʊ-fa,yao-an-fen-fou-fa
ㄧㄛ-ㄈㄧㄚ-ㄧㄠ-ㄈㄢ-ㄈㄜ,iɔ-fia-iɑʊ-fan-fɯʌ,yo-fia-yao-fan-fe
ㄧㄝ-ㄚ-ㄧㄛ-ㄈㄨ-ㄈㄟ,iɛ-a-iɔ-fu-feɪ,ye-a-yo-fu-fei
ㄧㄢ-ㄈㄥ-ㄈㄛA-ㄈㄛA-ㄈㄤ,iɛn-fʊŋ-fuɔ-fuɔ-fɑŋ,yan-feng-foa-foa-fang
ㄧㄡ-ㄈㄧ-ㄧㄞ-ㄈㄧㄚ-ㄧㄝ,iɤu-fi-iaɪ-fia-iɛ,you-fi-yai-fia-ye
ㄍㄚ-ㄧㄢ-ㄧ-ㄧㄥ-ㄈㄤ,ka-iɛn-i-iŋ-fɑŋ,ga-yan-yi-ying-fang
ㄍㄞ-ㄈㄨ-ㄈㄧㄚ-ㄧㄡ-ㄈㄨ,kaɪ-fu-fia-iɤu-fu,gai-fu-fia-you-fu
